aelig,000c6
pscr,1d4c5
psi,003c8
puncsp,02008
qfr,1d52e
qint,02a0c
qopf,1d562
qprime,02057
qscr,1d4c6
quaternions,0210d
quatint,02a16
quest,0003f
questeq,0225f
quot,00022
raarr,021db
rarr,021d2
ratail,0291c
rbarr,0290f
rhar,02964
race,00331
racute,00155
radic,0221a
raemptyv,029b3
rang,027e9
rangd,02992
range,029a5
rangle,027e9
raquo,000bb
rarr,02192
rarrap,02975
rarrb,021e5
rarrbfs,02920
rarrc,02933
rarrfs,0291e
rarrhk,021aa
rarrlp,021ac
rarrpl,02945
rarrsim,02974
rarrtl,021a3
rarrw,0219d
ratail,0291a
ratio,02236
rationals,0211a
rbarr,0290d
rbbrk,02773
rbrace,0007d
rbrack,0005d
rbrke,0298c
rbrksld,0298e
rbrkslu,02990
rcaron,00159
rcedil,00157
rceil,02309
rcub,0007d
rcy,00440
rdca,02937
rdldhar,02969
rdquo,0201d
rdquor,0201d
rdsh,021b3
real,0211c
realine,0211b
realpart,0211c
reals,0211d
rect,025ad
reg,000ae
rfisht,0297d
rfloor,0230b
rfr,1d52f
rhard,021c1
rharu,021c0
rharul,0296c
rho,003c1
rhov,003f1
rightarrow,02192
rightarrowtail,021a3
rightharpoondown,021c1
rightharpoonup,021c0
rightleftarrows,021c4
rightleftharpoons,021cc
rightrightarrows,021c9
rightsquigarrow,0219d
rightthreetimes,022cc
ring,002da
risingdotseq,02253
rlarr,021c4
rlhar,021cc
rlm,0200f
rmoust,023b1
rmoustache,023b1
rnmid,02aee
roang,027ed
roarr,021fe
robrk,027e7
ropar,02986
ropf,1d563
roplus,02a2e
rotimes,02a35
rpar,00029
rpargt,02994
rppolint,02a12
rrarr,021c9
rsaquo,0203a
rscr,1d4c7
rsh,021b1
rsqb,0005d
rsquo,02019
rsquor,02019
rthree,022cc
rtimes,022ca
rtri,025b9
rtrie,022b5
rtrif,025b8
rtriltri,029ce
ruluhar,02968
rx,0211e
sacute,0015b
sbquo,0201a
sc,0227b
sce,02ab4
scap,02ab8
scaron,00161
sccue,0227d
sce,02ab0
scedil,0015f
scirc,0015d
scne,02ab6
scnap,02aba
scnsim,022e9
scpolint,02a13
scsim,0227f
scy,00441
sdot,022c5
sdotb,022a1
sdote,02a66
searr,021d8
searhk,02925
searr,02198
searrow,02198
sect,000a7
semi,0003b
seswar,02929
setminus,02216
setmn,02216
sext,02736
sfr,1d530
sfrown,02322
sharp,0266f
shchcy,00449
shcy,00448
shortmid,02223
shortparallel,02225
shy,000ad
sigma,003c3
sigmaf,003c2
sigmav,003c2
sim,0223c
simdot,02a6a
sime,02243
simeq,02243
simg,02a9e
simge,02aa0
siml,02a9d
simle,02a9f
simne,02246
simplus,02a24
simrarr,02972
slarr,02190
smallsetminus,02216
smashp,02a33
smeparsl,029e4
smid,02223
smile,02323
smt,02aaa
smte,02aac
smtes,0fe00
softcy,0044c
sol,0002f
solb,029c4
solbar,0233f
sopf,1d564
spades,02660
spadesuit,02660
spar,02225
sqcap,02293
sqcaps,0fe00
sqcup,02294
sqcups,0fe00
sqsub,0228f
sqsube,02291
sqsubset,0228f
sqsubseteq,02291
sqsup,02290
sqsupe,02292
sqsupset,02290
sqsupseteq,02292
squ,025a1
square,025a1
squarf,025aa
squf,025aa
srarr,02192
sscr,1d4c8
ssetmn,02216
ssmile,02323
sstarf,022c6
star,02606
starf,02605
straightepsilon,003f5
straightphi,003d5
strns,000af
sub,02282
sube,02ac5
subdot,02abd
sube,02286
subedot,02ac3
submult,02ac1
subne,02acb
subne,0228a
subplus,02abf
subrarr,02979
subset,02282
subseteq,02286
subseteqq,02ac5
subsetneq,0228a
subsetneqq,02acb
subsim,02ac7
subsub,02ad5
subsup,02ad3
succ,0227b
succapprox,02ab8
succcurlyeq,0227d
succeq,02ab0
succnapprox,02aba
succneqq,02ab6
succnsim,022e9
succsim,0227f
sum,02211
sung,0266a
sup,02283
sup1,000b9
sup2,000b2
sup3,000b3
supe,02ac6
supdot,02abe
supdsub,02ad8
supe,02287
supedot,02ac4
suphsol,027c9
suphsub,02ad7
suplarr,0297b
supmult,02ac2
supne,02acc
supne,0228b
supplus,02ac0
supset,02283
supseteq,02287
supseteqq,02ac6
supsetneq,0228b
supsetneqq,02acc
supsim,02ac8
supsub,02ad4
supsup,02ad6
swarr,021d9
swarhk,02926
swarr,02199
swarrow,02199
swnwar,0292a
szlig,000df
target,02316
tau,003c4
tbrk,023b4
tcaron,00165
tcedil,00163
tcy,00442
tdot,020db
telrec,02315
tfr,1d531
there4,02234
therefore,02234
theta,003b8
thetasym,003d1
thetav,003d1
thickapprox,02248
thicksim,0223c
thinsp,02009
thkap,02248
thksim,0223c
thorn,000fe
tilde,002dc
times,000d7
timesb,022a0
timesbar,02a31
timesd,02a30
tint,0222d
toea,02928
top,022a4
topbot,02336
topcir,02af1
topf,1d565
topfork,02ada
tosa,02929
tprime,02034
trade,02122
triangle,025b5
triangledown,025bf
triangleleft,025c3
trianglelefteq,022b4
triangleq,0225c
triangleright,025b9
trianglerighteq,022b5
tridot,025ec
trie,0225c
triminus,02a3a
triplus,02a39
trisb,029cd
tritime,02a3b
trpezium,023e2
tscr,1d4c9
tscy,00446
tshcy,0045b
tstrok,00167
twixt,0226c
twoheadleftarrow,0219e
twoheadrightarrow,021a0
uarr,021d1
uhar,02963
uacute,000fa
uarr,02191
ubrcy,0045e
ubreve,0016d
ucirc,000fb
ucy,00443
udarr,021c5
udblac,00171
udhar,0296e
ufisht,0297e
ufr,1d532
ugrave,000f9
uharl,021bf
uharr,021be
uhblk,02580
ulcorn,0231c
ulcorner,0231c
ulcrop,0230f
ultri,025f8
umacr,0016b
uml,000a8
uogon,00173
uopf,1d566
uparrow,02191
updownarrow,02195
upharpoonleft,021bf
upharpoonright,021be
uplus,0228e
upsi,003c5
upsih,003d2
upsilon,003c5
upuparrows,021c8
urcorn,0231d
urcorner,0231d
urcrop,0230e
uring,0016f
urtri,025f9
uscr,1d4ca
utdot,022f0
utilde,00169
utri,025b5
utrif,025b4
uuarr,021c8
uuml,000fc
uwangle,029a7
varr,021d5
vbar,02ae8
vbarv,02ae9
vdash,022a8
vangrt,0299c
varepsilon,003f5
varkappa,003f0
varnothing,02205
varphi,003d5
varpi,003d6
varpropto,0221d
varr,02195
varrho,003f1
varsigma,003c2
varsubsetneq,0fe00
varsubsetneqq,0fe00
varsupsetneq,0fe00
varsupsetneqq,0fe00
vartheta,003d1
vartriangleleft,022b2
vartriangleright,022b3
vcy,00432
vdash,022a2
vee,02228
veebar,022bb
veeeq,0225a
vellip,022ee
verbar,0007c
vert,0007c
vfr,1d533
vltri,022b2
vnsub,020d2
vnsup,020d2
vopf,1d567
vprop,0221d
vrtri,022b3
vscr,1d4cb
vsubne,0fe00
vsubne,0fe00
vsupne,0fe00
vsupne,0fe00
vzigzag,0299a
wcirc,00175
wedbar,02a5f
wedge,02227
wedgeq,02259
weierp,02118
wfr,1d534
wopf,1d568
wp,02118
wr,02240
wreath,02240
wscr,1d4cc
xcap,022c2
xcirc,025ef
xcup,022c3
xdtri,025bd
xfr,1d535
xharr,027fa
xharr,027f7
xi,003be
xlarr,027f8
xlarr,027f5
xmap,027fc
xnis,022fb
xodot,02a00
xopf,1d569
xoplus,02a01
xotime,02a02
xrarr,027f9
xrarr,027f6
xscr,1d4cd
xsqcup,02a06
xuplus,02a04
xutri,025b3
xvee,022c1
xwedge,022c0
yacute,000fd
yacy,0044f
ycirc,00177
ycy,0044b
yen,000a5
yfr,1d536
yicy,00457
yopf,1d56a
yscr,1d4ce
yucy,0044e
yuml,000ff
zacute,0017a
zcaron,0017e
zcy,00437
zdot,0017c
zeetrf,02128
zeta,003b6
zfr,1d537
zhcy,00436
zigrarr,021dd
zopf,1d56b
zscr,1d4cf
zwj,0200d
zwnj,0200c
aelig,000c6
amp,00026
aacute,000c1
acirc,000c2
agrave,000c0
aring,000c5
atilde,000c3
auml,000c4
copy,000a9
ccedil,000c7
eth,000d0
eacute,000c9
ecirc,000ca
egrave,000c8
euml,000cb
gt,0003e
iacute,000cd
icirc,000ce
igrave,000cc
iuml,000cf
lt,0003c
ntilde,000d1
oacute,000d3
ocirc,000d4
ograve,000d2
oslash,000d8
otilde,000d5
ouml,000d6
quot,00022
reg,000ae
thorn,000de
uacute,000da
ucirc,000db
ugrave,000d9
uuml,000dc
yacute,000dd
aacute,000e1
acirc,000e2
acute,000b4
aelig,000e6
agrave,000e0
amp,00026
aring,000e5
atilde,000e3
auml,000e4
brvbar,000a6
ccedil,000e7
cedil,000b8
cent,000a2
copy,000a9
curren,000a4
deg,000b0
divide,000f7
eacute,000e9
ecirc,000ea
egrave,000e8
eth,000f0
euml,000eb
frac12,000bd
frac14,000bc
frac34,000be
gt,0003e
iacute,000ed
icirc,000ee
iexcl,000a1
igrave,000ec
iquest,000bf
iuml,000ef
laquo,000ab
lt,0003c
macr,000af
micro,000b5
middot,000b7
nbsp,000a0
not,000ac
ntilde,000f1
oacute,000f3
ocirc,000f4
ograve,000f2
ordf,000aa
ordm,000ba
oslash,000f8
otilde,000f5
ouml,000f6
para,000b6
plusmn,000b1
pound,000a3
quot,00022
raquo,000bb
reg,000ae
sect,000a7
shy,000ad
sup1,000b9
sup2,000b2
sup3,000b3
szlig,000df
thorn,000fe
times,000d7
uacute,000fa
ucirc,000fb
ugrave,000f9
uml,000a8
uuml,000fc
yacute,000fd
yen,000a5
yuml,000ff
whitheartsuit,002661
tilde,0007e
space,00020
hyphenminus,0002d
